"IDPAIS","NOMBRE","ISO3"
1,"ALEMANIA","276-DEU"
2,"ANTILLAS NEERLANDESAS","530-ANT"
3,"ARABIA SAUDITA","682-SAU"
4,"ARGENTINA","32-ARG"
5,"ARUBA","533-ABW"
6,"AUSTRALIA","36-AUS"
7,"BÉLGICA","NA-NA"
8,"BRASIL","76-BRA"
9,"CANADA","124-CAN"
10,"CHILE","152-CHL"
11,"COLOMBIA","170-COL"
12,"COSTA RICA","188-CRI"
13,"CROACIA","191-HRV"
14,"CUBA","192-CUB"
15,"CURAZAO","NA-NA"
16,"ECUADOR","218-ECU"
17,"EGIPTO","NA-NA"
18,"EMIRATOS ARABES UNIDOS","784-ARE"
19,"ESPAÑA","724-ESP"
20,"ESTADOS UNIDOS","840-USA"
21,"FRANCIA","250-FRA"
22,"GRECIA","300-GRC"
23,"GUATEMALA","320-GTM"
24,"HONDURAS","340-HND"
25,"IRLANDA","372-IRL"
26,"ISRAEL","376-ISR"
27,"ITALIA","380-ITA"
28,"JAMAICA","388-JAM"
29,"KENYA","404-KEN"
30,"MARRUECOS","504-MAR"
31,"MEXICO","484-MEX"
32,"NICARAGUA","558-NIC"
33,"PANAMA","591-PAN"
34,"PERU","604-PER"
35,"PORTUGAL","620-PRT"
36,"PUERTO RICO","630-PRI"
37,"REINO UNIDO DE GRAN BRETAÑA E IRLANDA DEL NORTE","NA-NA"
38,"REPÚBLICA ÁRABE SIRIA","NA-NA"
39,"REPÚBLICA DOMINICANA","NA-NA"
40,"SUECIA","752-SWE"
41,"SUIZA","756-CHE"
42,"TURQUÍA","NA-NA"
43,"URUGUAY","858-URY"
44,"VENEZUELA","862-VEN"
