"ZYEAR","NOMBRE"
1959,"CERDO"
1960,"RATA"
1961,"BUFALO"
1962,"TIGRE"
1963,"CONEJO"
1964,"DRAGON"
1965,"SERPIENTE"
1966,"CABALLO"
1967,"CABRA"
1968,"MONO"
1969,"GALLO"
1970,"PERRO"
1971,"CERDO"
1972,"RATA"
1973,"BUFALO"
1974,"TIGRE"
1975,"CONEJO"
1976,"DRAGON"
1977,"SERPIENTE"
1978,"CABALLO"
1979,"CABRA"
1980,"MONO"
1981,"GALLO"
1982,"PERRO"
1983,"CERDO"
1984,"RATA"
1985,"BUFALO"
1986,"TIGRE"
1987,"CONEJO"
1988,"DRAGON"
1989,"SERPIENTE"
1990,"CABALLO"
1991,"CABRA"
1992,"MONO"
1993,"GALLO"
1994,"PERRO"
1995,"CERDO"
1996,"RATA"
1997,"BUFALO"
1998,"TIGRE"
1999,"CONEJO"
2000,"DRAGON"
2001,"SERPIENTE"
2002,"CABALLO"
2003,"CABRA"
2004,"MONO"
2005,"GALLO"
2006,"PERRO"
2007,"CERDO"
2008,"RATA"
2009,"BUFALO"
2010,"TIGRE"
2011,"CONEJO"
2012,"DRAGON"
2013,"SERPIENTE"
2014,"CABALLO"
2015,"CABRA"
2016,"MONO"
2017,"GALLO"
2018,"PERRO"
2019,"CERDO"
2020,"RATA"
2021,"BUFALO"
2022,"TIGRE"
2023,"CONEJO"
2024,"DRAGON"
2025,"SERPIENTE"
2026,"CABALLO"
2027,"CABRA"
2028,"MONO"
